Date,Ticker,Close,Volume,rf,ftse,gbp_usd,gbp_eur,gold,oil,Log_return_5,Log_return_21,Log_return_60,Price_5,Price_21,Price_60,Volume5,Volume21,Volume60,Vol_price_correlation,RSI_14,Vol_5,Vol_21,Vol_60,Day_of_week,Month_of_year,Benchmark_correlation,Beta_5,Beta_21,Beta_60,Label,Regime_0_prob,Regime_1_prob,Regime_2_prob,Prediction_1,Prediction_5,Prediction_21
2011-06-15,AAL.L,2778.32666015625,5369366,0.0450000017881393,5742.60009765625,1.6377333402633667,1.1332000494003296,1525.5999755859375,94.80999755859376,-0.006409580034695471,-0.002897181625542098,-0.001866490337797191,0.01595961204306562,0.025834270208755727,0.06714177688756306,3839519.6,4195747.0,3951396.85,-0.030666036219102216,48.46849117818275,0.020458620570352214,0.018148089544148146,0.01971877376438223,2,6,0.8975110437209874,1.8899503818008458,1.8191060001454225,1.7645312115412486,1,0.9999999987194315,5.066773618758219e-11,1.230129831386054e-09,0.5126885771751404,0.49081701040267944,0.48280736804008484
2011-06-15,ADM.L,1693.33056640625,444258,0.0450000017881393,5742.60009765625,1.6377333402633667,1.1332000494003296,1525.5999755859375,94.80999755859376,-0.0020231925467174023,9.022971338818531e-05,0.000626717327213252,0.006319427002939193,-0.001848976916603462,-0.030089451252679034,506257.6,545712.1904761905,524531.0666666667,-0.14934222475204417,55.440356958195295,0.010964228614154643,0.014032099474489496,0.012537054143912558,2,6,0.6173241306357621,0.9597510440112406,0.9674381289802283,0.8763007729140762,0,0.9999999987194315,5.066773618758219e-11,1.230129831386054e-09,0.507956326007843,0.4948670268058777,0.5468865633010864
2011-06-15,ALW.L,370.7102661132813,887952,0.0450000017881393,5742.60009765625,1.6377333402633667,1.1332000494003296,1525.5999755859375,94.80999755859376,-0.0022510804133191835,-0.0011315152846101738,-0.000124219163799947,0.005485454788229038,0.01410886251289556,0.00038403309428680643,1049636.2,1636205.857142857,2147456.85,0.37627899427136174,41.26671439701833,0.006288922585508807,0.006970561192086768,0.008274970183308075,2,6,0.9030033240496552,0.570041123478056,0.7029822910389205,0.7786734486059703,1,0.9999999987194315,5.066773618758219e-11,1.230129831386054e-09,0.5283854603767395,0.5402156710624695,0.6274986267089844
2011-06-15,ANTO.L,1234.4234619140625,2782278,0.0450000017881393,5742.60009765625,1.6377333402633667,1.1332000494003296,1525.5999755859375,94.80999755859376,-0.0018170283682945173,-0.0009797570980374308,-0.0013813526794796897,0.0016129311378894062,0.003456196248172283,0.05489284752830281,2714482.0,2897743.9523809524,2652523.3,-0.1329265715457207,53.092797840837626,0.02503831759898092,0.025699615411335416,0.02660370098145746,2,6,0.7983481000547606,1.6291541406542733,2.2914279810214495,2.1622895412332257,1,0.9999999987194315,5.066773618758219e-11,1.230129831386054e-09,0.5035340189933777,0.46200278401374817,0.4878489077091217
2011-06-15,III.L,265.9699401855469,3356441,0.0450000017881393,5742.60009765625,1.6377333402633667,1.1332000494003296,1525.5999755859375,94.80999755859376,-0.0068860339805410994,-0.0037967767334697107,-0.0020033583061126194,0.01077835159603735,0.05465685992077329,0.05328251352821578,3789242.4,4385519.428571428,3905459.1,0.47876766765161144,23.15017101198859,0.01646567128453421,0.013195946362004824,0.016271382946586425,2,6,0.31121500438364347,1.0621246822644042,0.45865735310918443,0.2761689100393714,1,0.9999999987194315,5.066773618758219e-11,1.230129831386054e-09,0.5284315347671509,0.528175413608551,0.6069237589836121
2011-06-16,AAL.L,2727.388427734375,6690274,0.0350000001490116,5698.7998046875,1.6195906400680542,1.1414999961853027,1529.300048828125,94.9499969482422,-0.010441151423746377,-0.004316010041569925,-0.00241199210383165,0.022305241884554627,0.043256958213593544,0.08622301882109551,4519017.2,4339361.238095238,3964666.966666667,-0.23944491766838755,37.77570043312791,0.01489109322519446,0.017965737022390366,0.019586524030806043,3,6,0.8938703645928076,1.633081350084458,1.819938105625293,1.7919217994854406,1,0.9999999972933438,1.3685352143351014e-10,2.568400100435493e-09,0.5136159658432007,0.48832860589027405,0.48628997802734375
2011-06-16,ADM.L,1666.5777587890625,551350,0.0350000001490116,5698.7998046875,1.6195906400680542,1.1414999961853027,1529.300048828125,94.9499969482422,-0.006657148795258617,-0.001365705832587199,8.403606099835699e-05,0.014625545820742714,0.012626831498980806,-0.013258348864557346,527957.6,542007.8571428572,520440.61666666664,-0.1879785313909873,48.63627123712501,0.010863945855725183,0.014282392994763724,0.012505861188231096,3,6,0.6208701783806599,1.0788198681956096,1.00493696274336,0.8814133987927183,0,0.9999999972933438,1.3685352143351014e-10,2.568400100435493e-09,0.5109171867370605,0.4952768385410309,0.5474289059638977
2011-06-16,ALW.L,367.8196105957031,1353713,0.0350000001490116,5698.7998046875,1.6195906400680542,1.1414999961853027,1529.300048828125,94.9499969482422,-0.004110111689863952,-0.0017403024626413842,-0.0003768078549197352,0.008726201312517778,0.02135866482034854,0.009571145240633072,1161094.2,1666119.3333333333,2102157.4,0.3314045564266539,33.79804161070014,0.004454421335515749,0.006760227306915614,0.007957901231366134,3,6,0.9015081663071709,0.4707219218522768,0.6906658855511046,0.7614593578666072,1,0.9999999972933438,1.3685352143351014e-10,2.568400100435493e-09,0.5287030935287476,0.5395702719688416,0.6256138682365417
2011-06-16,ANTO.L,1209.5360107421875,2202884,0.0350000001490116,5698.7998046875,1.6195906400680542,1.1414999961853027,1529.300048828125,94.9499969482422,-0.008000420495467408,-0.002742252339107954,-0.002003839632605378,0.015473210476762533,0.025710252340387596,0.07555227981093826,2703054.2,2858456.1428571427,2621707.25,-0.08377781298064414,44.20484070504843,0.023149282655235772,0.026056809603982066,0.026676874180020207,3,6,0.8067202484299332,1.5043831063107158,2.382216555120995,2.2585873949203816,1,0.9999999972933438,1.3685352143351014e-10,2.568400100435493e-09,0.5043562054634094,0.460116446018219,0.48858895897865295
2011-06-16,III.L,262.68646240234375,6685308,0.0350000001490116,5698.7998046875,1.6195906400680542,1.1414999961853027,1529.300048828125,94.9499969482422,-0.008731400236613016,-0.0045809000075867235,-0.0023449574681665285,0.016991394923853154,0.06241503533570758,0.06474520323446464,4457879.8,4369946.380952381,3893208.1333333333,0.16323757754409537,23.209721856379076,0.016737603392249032,0.011413033422362735,0.016053056477021058,3,6,0.5315337753764482,1.724235469924057,0.6874941331133457,0.3921769368042494,1,0.9999999972933438,1.3685352143351014e-10,2.568400100435493e-09,0.5284944176673889,0.5293641686439514,0.6092221140861511
