Date,Close,High,Low,Open,Volume
2022-07-18,308.1979675292969,337.2336316036417,308.1979675292969,329.83728643262833,75775752
2022-07-19,300.8515930175781,308.94760544181327,291.2063570163581,308.8476486459523,44977828
2022-07-20,302.8506164550781,314.8946634233182,294.85456057507605,294.85456057507605,42043254
2022-07-21,314.0450439453125,314.0450439453125,298.0529353905422,301.8510489712896,35446440
2022-07-22,316.34393310546875,319.1845422014535,304.8496037825212,309.24742803166475,25275653
2022-07-25,304.849609375,313.2894460175858,304.3498559170082,311.8461577868852,33054037
2022-07-26,308.7476806640625,308.7476806640625,299.8520752002932,303.65018928515144,47379225
2022-07-27,303.3503723144531,319.64232409606143,303.3503723144531,309.8471677676457,92809478
2022-07-28,295.3543395996094,304.3499032422371,292.5557320006948,302.9505994427798,37686946
2022-07-29,291.6560974121094,293.655111186017,285.45917301451345,291.85601099051195,39539253
2022-08-01,297.4532470703125,297.4532470703125,284.7594977714632,284.7594977714632,16614852
2022-08-02,310.346923828125,313.7452415312114,298.4527966160561,299.852100317029,23844114
2022-08-03,306.8486328125,308.347893233408,304.84961891795604,307.24842949090254,17865277
2022-08-04,305.0495300292969,309.9471079306209,303.7501527068845,304.8496164404546,15092240
2022-08-05,307.7481689453125,313.0455738260537,299.2523602805205,302.8505912272914,14863964
2022-08-08,309.04754638671875,311.14648647948775,305.24940185652775,308.24792256337486,14380572
2022-08-09,303.8501281738281,310.2469668769811,302.3508676729704,306.24893887469386,15781977
2022-08-10,279.3621826171875,302.550755235798,279.3621826171875,297.7531037444319,112025393
2022-08-11,265.6689147949219,272.8653764856653,242.48037362952564,271.26615938744135,113965410
2022-08-12,271.4660949707031,274.7644557198807,261.93280325016474,265.8688499244196,50086906
2022-08-15,266.5685119628906,273.56506051307116,253.9747184720595,271.566046641591,37803344
2022-08-16,268.9673156738281,271.1662125750648,259.77183989765973,264.86933124091547,32516650
2022-08-17,258.2725524902344,268.46753410930074,256.60937170144206,262.37053649407585,29310948
2022-08-18,256.0736999511719,258.3725537994383,253.17512056436433,253.6748740533381,35741577
2022-08-19,255.97373962402344,255.97373962402344,252.87526193459516,252.87526193459516,23232175
2022-08-22,263.17010498046875,264.5694387788195,251.48388641682885,253.37495140715828,22330395
2022-08-23,267.6679382324219,269.467068971506,260.4715067836759,262.8703172665912,16179670
2022-08-24,268.66748046875,269.76694431455724,261.3740805174871,265.26916262923754,15418392
2022-08-25,263.47003173828125,267.86785611124327,262.0707281426839,265.86884225966685,7276648
2022-08-26,266.1686706542969,272.2656687390963,265.86883079050733,267.4680479032869,11112274
2022-08-30,259.07220458984375,262.3705652085968,256.6733635916266,259.8717979208959,17680093
2022-08-31,258.7223815917969,260.4715187643283,253.67486841509591,259.02222147750393,52132728
2022-09-01,249.5768585205078,258.17260831852195,246.47839642229016,256.5734217533312,20710901
2022-09-02,247.0281219482422,250.82625118334337,246.75826606865047,249.17707091411256,19029185
2022-09-05,246.02862548828125,246.1785606790093,241.05508106322196,243.37993821600546,15777220
2022-09-06,254.0746612548828,256.0736903873847,243.58183629418224,245.27899712718988,16773709
2022-09-07,254.874267578125,256.47348476931745,249.07712432413416,251.37599331724877,41837272
2022-09-08,260.0217590332031,260.0217590332031,252.67539119479295,254.87430370592386,17341463
2022-09-09,260.8713073730469,265.2191685964371,259.2720901928592,260.8713073730469,17682773
2022-09-12,263.86981201171875,264.16965186981145,259.87178455699575,262.28758483786476,19942952
2022-09-13,266.46856689453125,268.8174143973856,264.4695529350862,267.86787056563634,18160854
2022-09-14,270.16668701171875,270.86635400166415,262.7703424863487,265.0192328793514,25273167
2022-09-15,264.3196105957031,268.2166748023913,263.07022697689666,267.8678478721015,13008178
2022-09-16,259.2721252441406,265.31916125821016,259.2721252441406,261.9708065069531,40790661
2022-09-20,265.31915283203125,270.73545725974486,259.22215385961186,266.26866620728424,30631397
2022-09-21,267.46807861328125,269.8668893066112,261.0712399302237,261.0712399302237,23555338
2022-09-22,265.86883544921875,266.28162618652965,261.12117767333984,264.01974158337043,14471975
2022-09-23,277.313232421875,278.81249293847725,269.11726273010277,271.26619670339267,21806112
2022-09-26,286.2088317871094,288.85751920177483,275.763971573437,278.7624925340091,34480771
2022-09-27,278.6625061035156,287.85798160582453,278.6625061035156,286.5086412165414,20703519
2022-09-28,278.56256103515625,280.3116979582268,271.7658964039944,274.0647803758321,21573224
2022-09-29,279.91192626953125,281.7610203406521,276.2137686298228,280.161803022317,19230560
2022-09-30,279.1123046875,285.7540171252048,273.6150166811213,276.8134509949355,19741830
2022-10-03,270.66644287109375,278.46261460526375,268.2176693892775,277.3631509693839,18959527
2022-10-04,274.0648193359375,277.36318008731456,271.4660951517302,273.5650658583027,19704361
2022-10-05,278.3127136230469,278.31368970402184,271.0662884648147,272.7154687796304,16044492
