Date,Close,High,Low,Open,Volume
2016-10-26,224.5929718017578,226.589353773329,217.6056349012587,224.5929718017578,192604808
2016-10-27,228.5857696533203,230.1928579880781,224.59300511789115,224.59300511789115,7440348
2016-10-28,239.5658721923828,248.30004461606345,228.08667414983114,228.58576971689862,4409821
2016-10-31,249.5477752685547,250.29641859436035,237.56948205566405,248.3000363922119,3677740
2016-11-01,248.54954528808594,259.28009794610574,226.92374516785404,259.28009794610574,3915239
2016-11-02,249.5477752685547,253.2410792962918,246.55320196533202,249.5477752685547,5274988
2016-11-03,249.5477752685547,251.29460969543456,246.55320196533202,246.55320196533202,770998
2016-11-04,248.54954528808594,251.04502265041612,247.05225887068784,247.05225887068784,787699
2016-11-07,255.03785705566406,255.03785705566406,246.55323167416446,249.54780533822316,3013238
2016-11-08,254.53875732421875,255.78649633071004,251.79373150993797,253.54056611902575,1182855
2016-11-09,249.5477752685547,254.28918299865722,247.55139306640623,249.5477752685547,1868163
2016-11-10,242.56045532226562,257.53332293475114,239.06678621268566,249.79734133496697,4435295
2016-11-11,243.55862426757812,247.84885368546944,241.56224210145044,242.3108854137483,1063642
2016-11-14,238.56765747070312,245.30544695993848,235.82263212323687,235.82263212323687,1715219
2016-11-15,236.5712432861328,242.061293235811,234.8244092112352,234.8244092112352,288353
2016-11-16,233.5767364501953,237.81904897119244,231.8299018827259,236.3217621990758,2138287
2016-11-17,232.32896423339844,238.43988380106276,230.0830343965557,236.8208239070839,1089004
2016-11-18,235.07398986816406,238.06856298750373,232.0794167488244,237.56946746761378,411639
2016-11-21,234.57489013671875,242.0613228006566,234.55193673904512,242.0613228006566,1379495
2016-11-22,236.5712432861328,240.06491143592802,234.8244092112352,234.8244092112352,2458328
2016-11-23,234.57489013671875,239.56584524601064,230.83167380474984,239.56584524601064,1366840
2016-11-24,232.57852172851562,233.32716503880053,212.61470012091772,223.3452542350016,3351377
2016-11-25,238.0685577392578,242.06132181035647,236.0721757037085,236.57127121259583,1064561
2016-11-28,238.81719970703125,244.30725027500898,238.06855644776158,244.30725027500898,1214802
2016-11-29,239.0667724609375,240.5640591360582,237.56948578581682,237.8190335650036,1752265
2016-11-30,237.5694580078125,244.5567950080423,234.82443275772224,244.5567950080423,1623854
2016-12-01,241.31268310546875,244.55680397451846,237.56946671810366,239.56584879136503,2230162
2016-12-02,234.57489013671875,245.30544362169633,232.07941258207282,245.30544362169633,2416573
2016-12-05,237.5694580078125,239.6456971156231,229.83347775755811,238.56764900784535,4384189
2016-12-06,239.5658721923828,241.0631588935852,235.82265543937683,239.31632440884908,3780560
2016-12-07,241.8118133544922,242.31090894449113,238.81723981449846,242.31090894449113,1159080
2016-12-08,241.562255859375,244.5568292791193,240.31451693448153,244.5568292791193,1610743
2016-12-09,242.8099822998047,244.55681670483926,239.81540903403115,239.81540903403115,2603431
2016-12-12,244.5568389892578,246.3036735534668,242.43568273271833,242.81000442504882,1348654
2016-12-13,246.55320739746094,247.55139852052758,239.56586953599444,239.56586953599444,1755389
2016-12-14,243.55862426757812,248.05048414136542,241.0631465599185,247.80093637059946,1482948
2016-12-15,236.5712432861328,244.30722276067937,236.32169556114744,243.8081273107086,4202600
2016-12-16,233.5767364501953,238.56769235725076,230.58216290596204,234.32537983625363,36315820
2016-12-19,228.5857696533203,238.56768099189327,227.7872136999969,238.56768099189327,1940355
2016-12-20,229.48411560058594,231.0812273681754,222.8431506870986,231.0812273681754,2641009
2016-12-21,229.0848388671875,232.77814259135806,225.9904406157227,232.07941192427492,2261142
2016-12-22,230.88160705566406,232.97779925037042,229.68378076851937,232.8779892779678,958603
2016-12-23,232.27906799316406,233.47689427759815,229.58395504539047,233.47689427759815,264712
2016-12-28,236.4714813232422,239.36624484568503,231.9097556111688,233.4769078228321,753183
2016-12-29,234.57489013671875,238.36801906601784,233.87615946765516,237.17019288602503,542519
2016-12-30,233.47686767578125,239.0667433411595,231.58031087744888,235.4732496661041,665698
2017-01-03,240.16476440429688,240.26457436712792,228.98501284656155,228.98501284656155,3086076
2017-01-04,241.562255859375,242.7600821810351,236.3876272631301,239.7655087612908,1348412
2017-01-05,242.66024780273438,243.55861364583868,239.665674684138,239.665674684138,1075320
2017-01-06,242.260986328125,245.15574976920968,240.36442925697727,241.86171596510064,1023913
2017-01-09,238.8671417236328,242.95971623965184,237.66931540750988,242.95971623965184,986821
2017-01-10,239.0667724609375,240.5640591360582,237.6693109899666,237.6693109899666,1867091
2017-01-11,238.76730346679688,241.16795179748186,237.76911238605678,238.5676682968863,1241524
2017-01-12,240.5640869140625,241.1630077457434,238.36806924988156,240.26462649822204,1092096
2017-01-13,239.26641845703125,243.2911229066014,239.26641845703125,240.8635304085188,748975
2017-01-16,241.562255859375,243.35900295745918,239.7655087612908,239.7655087612908,665148
2017-01-17,239.5658721923828,243.3330476040496,237.76912510470237,241.96152482183146,969582
2017-01-18,240.863525390625,241.9615265071083,236.62121304100359,236.67112564429556,561112
2017-01-19,241.3625946044922,243.05951631280013,240.4642135369035,243.05951631280013,1436279
2017-01-20,237.5694580078125,241.7618571617132,236.82381530141288,240.66385620038864,1085584
2017-01-23,239.5658721923828,240.26460294003968,237.56948992411296,238.26822067176983,1547312
2017-01-24,237.0703582763672,244.5567906429893,236.67108797595492,244.5567906429893,1583162
