Date,Close,High,Low,Open,Volume
2001-02-26,496.9643249511719,497.4617867379098,481.04554777555876,489.50239815010326,219781
2001-02-27,492.4871520996094,492.4871520996094,485.3236904694614,490.3978065939281,623333
2001-02-28,493.23321533203125,497.7601041042904,479.553020252222,479.553020252222,341139
2001-03-01,495.4718017578125,500.4464182413247,479.55302901057354,487.51241538419305,1056918
2001-03-02,491.4921875,502.4363455212551,487.5124936740891,494.97441959767207,439488
2001-03-05,502.4363708496094,502.4363708496094,489.99982701669825,496.46682980981205,429282
2001-03-06,493.9796142578125,498.9542327296938,488.5075339387431,498.9542327296938,402442
2001-03-07,491.4921875,494.87492117949347,484.8261881965375,488.5074171305668,207657
2001-03-08,493.9796142578125,498.4567708825057,487.7613411679609,493.9796142578125,541579
2001-03-09,496.9643249511719,496.9643249511719,486.31863056991745,491.49224529705486,169352
2001-03-12,497.21295166015625,497.4616825014069,486.517525486376,487.5124488513788,369431
2001-03-13,484.2789611816406,494.2779291287738,484.2789611816406,494.2779291287738,374066
2001-03-14,482.04046630859375,489.7511239224051,477.5633102747678,477.5633102747678,362191
2001-03-15,480.2992248535156,488.00988045706765,478.0606474202263,486.5174955015415,1188359
2001-03-16,467.6141662597656,483.03548450875786,457.6649286797706,479.55325135575964,1413929
2001-03-19,477.81201171875,479.55312784682457,458.4110034344905,467.6140458257418,538066
2001-03-20,471.344970703125,477.5632420844327,467.61400787434036,470.5987781373681,848805
2001-03-21,461.8931884765625,473.58353842723477,459.40587997641944,473.58353842723477,258374
2001-03-22,456.669921875,468.41000793935945,449.705456835512,464.62931049155776,410973
2001-03-23,459.15716552734375,465.62416785871477,455.67493350275936,456.5783135375272,917761
2001-03-26,449.7052917480469,460.6494470781984,436.2738283883154,459.6545238663665,412995
2001-03-27,460.4008483886719,460.4008483886719,435.27903008113225,450.70034428972093,755194
2001-03-28,445.97442626953125,456.4211222557668,442.24346341730427,455.42619882850624,788292
2001-03-29,446.4717712402344,459.65450320443074,440.75096302935674,446.72050203201167,526325
2001-03-30,442.74102783203125,452.4912675358523,434.2841767386104,443.5369546134067,468996
2001-04-02,442.74102783203125,450.7004170964273,437.76640954178373,445.5268019295057,921798
2001-04-03,427.0708923339844,444.73078363026445,418.86277384416405,444.73078363026445,618978
2001-04-04,447.96441650390625,452.6903042960074,399.9593457736153,418.1167041327409,910520
2001-04-05,447.7156066894531,452.69022454155817,439.7562181260851,451.69530097113716,408633
2001-04-06,436.02520751953125,446.72063474334175,431.79678280314107,431.79678280314107,325413
2001-04-09,443.238525390625,447.7156822127525,423.34005062561374,423.34005062561374,358818
2001-04-10,441.9948425292969,445.97453722849144,435.27910772440606,443.48722804149486,786938
2001-04-11,441.9948425292969,444.7308826349932,421.15117939720096,442.74103528539587,603534
2001-04-12,441.2485656738281,447.7155683274468,434.53283214891644,446.4719139709817,459065
2001-04-13,434.5328063964844,434.5328063964844,434.5328063964844,434.5328063964844,0
2001-04-16,434.5328063964844,434.5328063964844,434.5328063964844,434.5328063964844,0
2001-04-17,426.32470703125,445.72571470245043,414.88308712259334,441.5470239820531,539470
2001-04-18,431.05059814453125,456.1724160398559,429.5582129230268,449.70541341333666,1641756
2001-04-19,429.0606689453125,447.71548063858694,421.8474750905797,432.7916312839674,1356354
2001-04-20,435.77642822265625,440.2535833071356,431.29927313817694,435.77642822265625,831477
2001-04-23,436.27392578125,442.7409281018387,430.05565431914556,439.25869608306016,288687
2001-04-24,437.5175476074219,444.7307419682037,435.77643172723316,444.7307419682037,909494
2001-04-25,432.7915954589844,437.268749894767,415.1814425331808,434.2839802709119,471521
2001-04-26,440.5023498535156,442.74092757722065,423.0911897802541,432.0455006750743,349398
2001-04-27,437.76617431640625,437.76617431640625,427.1204847504723,427.1204847504723,407217
2001-04-30,437.0202331542969,449.7055102691911,435.0801198034249,444.730891792762,602689
2001-05-01,430.0556640625,440.9998220837551,423.09119986715586,437.7663208502025,419521
2001-05-02,424.0861511230469,439.2587348289154,422.8424967209265,436.2739642638265,1648847
2001-05-03,426.8221435546875,433.2891457297585,417.867832850743,433.2891457297585,952661
2001-05-04,435.77642822265625,435.77642822265625,425.4789654558235,425.4789654558235,1084996
2001-05-07,430.8017578125,430.8017578125,430.8017578125,430.8017578125,0
2001-05-08,424.8323669433594,435.08006763088775,420.8526726394403,431.0009052594971,1967021
2001-05-09,419.1114501953125,427.56829844851165,415.8779493926187,424.27510467539554,597565
2001-05-10,417.370361328125,422.3449782688655,407.91858914071815,419.06174323303765,1433844
2001-05-11,420.8526611328125,427.8171259742538,415.08211669496677,415.08211669496677,549963
2001-05-14,412.14697265625,425.8271678862402,412.14697265625,420.3550897942441,1785686
2001-05-15,418.8627624511719,421.84753272992134,416.176457055236,421.64853589961,672942
2001-05-16,418.8627624511719,420.1561507602353,415.87799217242247,419.8576858774217,821510
2001-05-17,415.87786865234375,427.81694622131056,415.87786865234375,424.8321768290688,1816563
2001-05-18,412.8931579589844,421.3500057726021,411.4007730506989,415.87792777555535,1315862
2001-05-21,409.1623229980469,425.82729299249615,403.73997733240157,425.82729299249615,1176313
2001-05-22,402.94403076171875,421.84757788387344,397.9694130979938,421.84757788387344,2227795
2001-05-23,404.68511962890625,411.20185618346176,400.257698061967,405.9287739608943,1057502
2001-05-24,405.1825866699219,411.40085841132645,396.0790429130366,410.1074700341763,1907998
2001-05-25,409.9084777832031,409.9084777832031,399.9592428855526,406.2272487260103,1321172
2001-05-28,409.9084777832031,409.9084777832031,409.9084777832031,409.9084777832031,0
2001-05-29,407.918701171875,426.8222507383765,403.9390065262957,426.8222507383765,1835457
2001-05-30,407.17242431640625,410.9033872759335,402.94399962894204,407.91861690831166,3011606
2001-05-31,400.9541015625,409.90841152295286,397.9693315756824,403.93887154931764,1223660
2001-06-01,397.471923828125,404.11800527994114,392.99476824057416,402.4465411476259,1562564
2001-06-04,393.49224853515625,402.69529101037796,388.51763098098235,400.20798223329103,993227
2001-06-05,403.9388427734375,407.7195390090163,388.5175322734664,393.98961019281097,2578962
2001-06-06,407.17242431640625,412.89323418768134,398.9643058054463,407.91861690831166,3931662
2001-06-07,419.3602600097656,420.8526452767043,408.5653338397114,415.8780277202421,4453382
2001-06-08,414.3855895996094,427.56832444281423,411.1520886003327,415.1815161620628,2205326
2001-06-11,412.8931579589844,424.8322372252683,412.8931579589844,424.8322372252683,3498828
2001-06-12,426.32470703125,427.817092236727,413.3907019171164,413.3907019171164,7434808
2001-06-13,436.02520751953125,452.69017551942204,420.85262471366053,423.03946454142135,7349444
2001-06-14,438.7610778808594,446.2230009740712,432.7915394062898,446.2230009740712,7547052
2001-06-15,444.730712890625,455.1774074887269,431.7967100548797,440.35305646490264,8994124
2001-06-18,441.7460021972656,450.7003130526156,440.2536170547073,450.7003130526156,4554574
2001-06-19,443.98455810546875,449.70536753764003,438.7612103630515,441.7459805015756,3260932
2001-06-20,444.2332458496094,455.97332844368833,442.0444024819985,442.0444024819985,2054381
2001-06-21,460.152099609375,461.6444847972973,446.72063291807433,452.6901736697635,4908569
2001-06-22,457.66461181640625,467.61384250806725,448.4118394182185,448.4118394182185,3552808
2001-06-25,460.8983459472656,466.1216947140722,458.65976790434854,466.1216947140722,2284924
2001-06-26,460.6494445800781,462.63929099295103,451.69513572215004,453.68498213502295,3533150
2001-06-27,460.152099609375,469.6038724662162,457.66479096283786,460.6495613386824,3501988
2001-06-28,466.61907958984375,467.6140030004831,453.18761354621284,453.18761354621284,2628089
2001-06-29,458.90838623046875,472.0911203606665,458.90838623046875,462.93781357426144,915034
2001-07-02,456.9185791015625,458.9581599606563,447.51654066905485,458.9581599606563,2877936
2001-07-03,458.6596984863281,463.63431560657034,453.68508136608597,456.96831652038446,2861003
2001-07-04,456.669921875,459.65469260620915,452.69022756672115,459.65469260620915,612891
2001-07-05,452.6900329589844,457.16718713110623,450.70018666026357,452.6900329589844,1397579
2001-07-06,465.62420654296875,467.6140535794772,443.7358891413762,443.7358891413762,1734904
2001-07-09,460.4008483886719,465.6241967496455,455.67496177636247,465.6241967496455,592875
2001-07-10,450.94903564453125,458.9581569510718,450.70030479199704,458.9581569510718,775401
2001-07-11,453.68511962890625,459.65466067665506,448.7105020891156,455.6749666448225,1486258
2001-07-12,459.90338134765625,464.6292679055824,453.6851095609113,453.6851095609113,2036058
2001-07-13,456.42095947265625,461.64430560286104,448.4615748932966,460.4006517623361,872864
2001-07-16,452.6900329589844,461.64434130322803,447.7154172121824,457.6646487057864,1143013
2001-07-17,454.4312438964844,460.649514885763,447.7155112280634,448.71043458634796,747438
2001-07-18,447.96441650390625,457.66492302453497,447.71568556747985,457.66492302453497,1338183
2001-07-19,452.6900329589844,457.6646487057864,448.71034036154276,453.1874945336646,1025236
2001-07-20,453.9338073730469,467.61400430757703,447.71553603916954,452.6901531062714,1737453
2001-07-23,455.1773986816406,462.3905924312404,441.745934458248,441.745934458248,501054
2001-07-24,447.7156066894531,458.36130103802105,441.0496066225693,454.6800716824002,1180687
2001-07-25,455.6748352050781,472.5885299615985,449.0088374795083,451.1976807107051,2712682
2001-07-26,457.66461181640625,465.62399636973504,452.68999647057575,455.67476567807404,2096578
2001-07-27,466.61907958984375,472.5886200536797,453.6850752515325,459.65461571536844,2780024
2001-07-30,469.1064758300781,472.3399775192568,465.62424324173185,465.62424324173185,343265
2001-07-31,473.3346862792969,473.9813802510801,465.6240319048049,468.1113397675442,797547
2001-08-01,465.1683349609375,469.6458911263369,462.68080375793784,468.4518640027486,857391
2001-08-02,460.939453125,468.6507985361576,453.725613869401,467.65578622504046,1162665
2001-08-03,455.4668884277344,465.6657646841719,455.4668884277344,462.18322157221763,234072
2001-08-06,460.690673828125,467.15825348229953,453.72558804670626,465.16822897332275,722678
2001-08-07,463.6757507324219,469.64582477618694,457.7056766886568,457.7056766886568,1083707
2001-08-08,464.67071533203125,465.6657275704296,457.70562966324275,463.6757030936329,969792
2001-08-09,459.4469909667969,464.67080624037715,455.715694342811,457.7057192089368,770272
2001-08-10,468.89947509765625,472.43175607956846,458.70060057298576,463.6756613167275,1253690
2001-08-13,466.66070556640625,484.57092454336856,460.9393856154322,484.57092454336856,434533
2001-08-14,466.16314697265625,469.64568915921825,462.9293577994201,462.9293577994201,378645
2001-08-15,466.66070556640625,467.65571773179306,463.6756690702459,464.6706812356327,324682
2001-08-16,467.6558532714844,481.08852139736746,462.68079100263884,469.14837195213806,1340204
2001-08-17,467.6558532714844,468.9493573152361,462.68079100263884,467.6558532714844,396041
2001-08-20,471.6358947753906,474.62093208409567,466.6608325942156,466.6608325942156,3645977
2001-08-21,473.8746032714844,477.6058993602362,469.89455411014904,471.63582561823324,1278159
2001-08-22,474.620849609375,477.40687180055886,470.64080055604694,476.61087413603906,430547
2001-08-23,475.615966796875,477.6059917625523,472.6309293483591,473.7254491525558,742083
2001-08-24,472.8796691894531,482.58104062469175,472.8796691894531,477.40696371308303,405927
2001-08-27,472.8796691894531,472.8796691894531,472.8796691894531,472.8796691894531,0
2001-08-28,474.620849609375,478.4018840638909,474.620849609375,475.91435340556086,365300
2001-08-29,468.89947509765625,475.61580710170756,468.6507220604692,475.61580710170756,1579926
2001-08-30,463.1782531738281,468.1533149694654,460.6907222760095,467.65580878990164,1968407
2001-08-31,469.8946533203125,477.60600019851773,465.6658501935548,469.7454075183248,429527
2001-09-03,469.6458740234375,472.63091135833224,462.6807869086831,469.94436561077896,392810
2001-09-04,467.6558532714844,472.13340931344544,465.66582836394616,467.6558532714844,719552
2001-09-05,462.6807556152344,473.62589176957323,462.6807556152344,467.65581750357023,532538
2001-09-06,462.6807556152344,464.96927193772166,459.69571848223285,459.69571848223285,1530039
2001-09-07,457.9544372558594,462.6807459510584,453.0291139431367,459.19820270196436,1125821
2001-09-10,456.71063232421875,458.7006568659365,443.07895206730643,458.7006568659365,2451224
2001-09-11,437.805419921875,463.6757401899858,398.00492720170456,452.73060469193894,1519080
2001-09-12,455.4668884277344,457.7056661425621,437.30791362968705,437.8054197885377,436454
2001-09-13,454.7207336425781,460.6908089201612,444.77060817993964,453.2282148231823,413887
2001-09-14,449.4969787597656,451.7357572926034,427.8554529423336,448.2532129081891,368149
